image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,nhash,evasion,0,0,,,,,,,source=./inputs; lr=0.001; opt=Adam; ssim_w=5.0; edges_only=False; hamming_T=0.1; check_interval=1; threads=4
ILSVRC2012_val_00026061,nhash,evasion,1,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00026061.JPEG
n03000684_1040,nhash,evasion,1,0.001,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1040.JPEG
n03000684_1100,nhash,evasion,1,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1100.JPEG
ILSVRC2012_val_00025890,nhash,evasion,1,0.001,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00025890.JPEG
n03000684_1040,nhash,evasion,2,273.89,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1040.JPEG
ILSVRC2012_val_00026061,nhash,evasion,2,274.202,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00026061.JPEG
n03000684_1100,nhash,evasion,2,271.854,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1100.JPEG
ILSVRC2012_val_00025890,nhash,evasion,2,275.95,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00025890.JPEG
n03000684_1040,nhash,evasion,3,491.295,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1040.JPEG
ILSVRC2012_val_00026061,nhash,evasion,3,494.781,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00026061.JPEG
n03000684_1100,nhash,evasion,3,491.407,0.0,0.0,0.0,0.0,0.0,0,./inputs/n03000684_1100.JPEG
ILSVRC2012_val_00025890,nhash,evasion,3,498.213,0.0,0.0,0.0,0.0,0.0,0,./inputs/ILSVRC2012_val_00025890.JPEG
