image_id,hash_method,attack_type,target_image_id,target_hash_hex,step,elapsed_ms,target_dist_raw,target_dist_norm,best_target_dist_norm,l2,linf,ssim,success,source_path,target_path
__HYPERPARAMS__,pdq,collision_whitebox_pdq_subset_T008,,,0,,,,,,,,,source=./inputs/pdq_subset_10; target_hashset=/home/exouser/ar-sec-eval/dataset_hashes/imagenette_train_pdq_hashes.csv; lr=0.002; opt=Adam; ssim_w=5.0; temperature=20.0; max_steps=1000; target_hamming_T=0.08; threads=2; target_selection=nearest_distinct_hash; surrogate_median=source,
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,1,57.257,100.0,0.390625,0.390625,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,1,131.734,98.0,0.3828125,0.3828125,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,2,361.468,102.0,0.3984375,0.3828125,2.109621524810791,0.003921598196029663,0.9986311793327332,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,2,283.61,100.0,0.390625,0.390625,2.164503335952759,0.003921598196029663,0.9995473027229309,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,3,365.118,100.0,0.390625,0.390625,2.2700259685516357,0.003921598196029663,0.9994949698448181,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,3,436.004,102.0,0.3984375,0.3828125,2.2259178161621094,0.003921598196029663,0.9985485076904297,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,4,524.289,102.0,0.3984375,0.3828125,2.2306764125823975,0.003921598196029663,0.9985400438308716,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,4,446.627,100.0,0.390625,0.390625,2.2737252712249756,0.003921598196029663,0.9994984269142151,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,5,594.641,102.0,0.3984375,0.3828125,2.24499773979187,0.003921598196029663,0.9985141754150391,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,5,522.547,100.0,0.390625,0.390625,2.2817294597625732,0.003921598196029663,0.9994987845420837,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,6,667.939,104.0,0.40625,0.3828125,3.818941354751587,0.007843166589736938,0.9960564374923706,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,6,596.543,98.0,0.3828125,0.3828125,4.011887073516846,0.007843166589736938,0.9989147782325745,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset_T008,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,7,734.769,104.0,0.40625,0.3828125,4.138607978820801,0.007843166589736938,0.9955198764801025,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset_T008,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,7,669.009,98.0,0.3828125,0.3828125,4.2817583084106445,0.007843166589736938,0.9986836314201355,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
