image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,best_dist_norm,flipped_bits,improved,grad_abs_mean,l2,linf,ssim,success,source_path
__HYPERPARAMS__,pdq,evasion,0,0,,,,,,,,,,,source=inputs/inputs_500; lr=0.02; c_spsa=0.02; spsa_samples=4; max_steps=1000; ssim_w=1.0; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; PATCH=current_median_spsa
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,1,181.525,0.0,0.0,0.0,0,0,0.048828125,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,2,813.695,0.0,0.0,0.0,0,0,0.07326077669858932,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,3,884.6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,4,946.678,0.0,0.0,0.0,0,0,0.048828125,0.6127318143844604,0.003921598196029663,0.9994219541549683,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,5,1025.184,0.0,0.0,0.0,0,0,0.048828125,0.4341798424720764,0.003921598196029663,0.9997084736824036,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,6,1097.235,0.0,0.0,0.0,0,0,0.048828125,0.8657968640327454,0.003921598196029663,0.9988491535186768,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,7,1177.392,0.0,0.0,0.0,0,0,0.048828125,0.650519609451294,0.003921598196029663,0.9993472099304199,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,8,1253.577,0.0,0.0,0.0,0,0,0.048828125,1.0387569665908813,0.003921598196029663,0.9983501434326172,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,9,1337.578,0.0,0.0,0.0,0,0,0.0,1.0387569665908813,0.003921598196029663,0.9983501434326172,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,10,1427.009,0.0,0.0,0.0,0,0,0.048828125,0.8110540509223938,0.003921598196029663,0.998994767665863,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,11,1507.221,2.0,0.0078125,0.0078125,2,1,0.09761907905340195,1.358595848083496,0.007843166589736938,0.9971981048583984,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,12,1599.251,2.0,0.0078125,0.0078125,2,0,0.0,1.358595848083496,0.007843166589736938,0.9971981048583984,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,13,1690.524,0.0,0.0,0.0078125,0,0,0.04875402897596359,1.4299215078353882,0.007843166589736938,0.9968973398208618,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
