image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,best_dist_norm,flipped_bits,improved,grad_abs_mean,l2,linf,ssim,success,source_path
__HYPERPARAMS__,pdq,evasion,0,0,,,,,,,,,,,source=inputs/inputs_500; lr=0.03; c_spsa=0.03; spsa_samples=8; max_steps=1000; ssim_w=0.5; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; PATCH=current_median_spsa
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,1,97.738,0.0,0.0,0.0,0,0,0.016300572082400322,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,2,359.235,0.0,0.0,0.0,0,0,0.02438107319176197,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,3,485.867,0.0,0.0,0.0,0,0,0.024408744648098946,0.1559285968542099,0.003921598196029663,0.9999639987945557,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,4,574.975,0.0,0.0,0.0,0,0,0.036608535796403885,0.5370402336120605,0.003921598196029663,0.9995606541633606,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,5,673.664,0.0,0.0,0.0,0,0,0.016296889632940292,0.6141732931137085,0.003921598196029663,0.9994247555732727,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,6,775.07,0.0,0.0,0.0,0,0,0.04072493314743042,0.7220480442047119,0.003921598196029663,0.9992079734802246,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,7,878.764,0.0,0.0,0.0,0,0,0.01627018116414547,0.7706257104873657,0.003921598196029663,0.9990962743759155,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,8,981.393,0.0,0.0,0.0,0,0,0.024340802803635597,0.8542271852493286,0.003921598196029663,0.9988889098167419,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,9,1089.034,0.0,0.0,0.0,0,0,0.04064597934484482,1.0241076946258545,0.00784313678741455,0.9984095096588135,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,10,1198.501,2.0,0.0078125,0.0078125,2,1,0.036642611026763916,1.2616304159164429,0.007843166589736938,0.997585117816925,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,11,1303.639,2.0,0.0078125,0.0078125,2,0,0.0407106988132,1.3680206537246704,0.007843166589736938,0.9971595406532288,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
