image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,best_dist_norm,flipped_bits,improved,grad_abs_mean,l2,linf,ssim,success,source_path
__HYPERPARAMS__,pdq,evasion,0,0,,,,,,,,,,,source=inputs/inputs_500; lr=0.02; c_spsa=0.02; spsa_samples=4; max_steps=1000; ssim_w=0.0; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; PATCH=current_median_spsa
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,1,82.771,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,2,187.439,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,3,247.952,0.0,0.0,0.0,0,0,0.048828125,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,4,447.056,0.0,0.0,0.0,0,0,0.048828125,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,5,516.831,0.0,0.0,0.0,0,0,0.048828125,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,6,580.359,0.0,0.0,0.0,0,0,0.048828125,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,7,643.206,2.0,0.0078125,0.0078125,2,1,0.12209693342447281,1.2910064458847046,0.003921598196029663,0.9974636435508728,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,8,733.595,0.0,0.0,0.0078125,0,0,0.0732215940952301,1.427499532699585,0.007843166589736938,0.9969021677970886,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,9,825.293,0.0,0.0,0.0078125,0,0,0.048828125,1.2062697410583496,0.007843166589736938,0.9977893233299255,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,10,914.652,0.0,0.0,0.0078125,0,0,0.048828125,1.492078423500061,0.007843166589736938,0.9966187477111816,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00003351__a4591751d1,pdq,evasion,11,1006.984,0.0,0.0,0.0078125,0,0,0.07326755672693253,1.3352006673812866,0.007843166589736938,0.9972905516624451,0,inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
